dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
100,FDABs,Modified_schwefel,16323.17507310999,45166.07210394759,17033.669724978823,2200.4240306475845,16816.77636000369,16777.168292477156,16896.720023857168
100,FDADBs,Modified_schwefel,17025.839726678427,45368.55258970125,21156.493786720283,7264.392978617202,17246.26935109053,17025.851605157535,21751.510114215453
100,FDAC,Modified_schwefel,16323.17507310999,45166.07210394759,17033.669724978823,2200.4240306475845,16816.77636000369,16777.168292477156,16896.720023857168
100,FDAD,Modified_schwefel,17025.839726678427,45368.55258970125,21156.493786720283,7264.392978617202,17246.26935109053,17025.851605157535,21751.510114215453
100,SOOBs,Modified_schwefel,13170.620965461349,40539.794391057454,13221.051092962536,557.5053488847878,13198.993470974021,13192.805423600685,13204.66054666366
10,FDA,Lunacek_bi_rastrigin,293.1826872200252,1013.8881843724696,821.6177038964838,24.757953381233765,820.0311820787642,812.2522756280139,823.6767299217984
10,DIRECT,Lunacek_bi_rastrigin,53.638258591677754,2786.047285207716,780.5965003065418,484.0345071501827,728.4238658073791,342.0971660218744,1155.4184902712477
10,DIRECTL,Lunacek_bi_rastrigin,53.41846144177646,2084.758480189403,911.792416030882,472.3505044917784,1009.9111739237617,582.4551512284656,1247.1286202181973
10,DIRECTR,Lunacek_bi_rastrigin,33.953616779510185,2322.9783526060023,169.00778948491944,288.87268037235367,34.33615051435231,33.95366178607651,133.58949739657822
10,SOO,Lunacek_bi_rastrigin,16.446095097673265,1888.2092718573158,100.556550722231,186.94468488570408,34.42669899340626,27.544992500871928,88.63604483036346
10,DIRECTBs,Lunacek_bi_rastrigin,86.56069880320376,953.7511623080752,87.370567849094,17.733159575589227,86.5606988032041,86.56069880320399,86.56069880320422
10,FDABs,Lunacek_bi_rastrigin,293.1826872200252,1427.3776272319,850.7139907646058,147.70953531087653,868.3184035105619,788.1639929221192,872.4395209100591
10,FDADBs,Lunacek_bi_rastrigin,293.1826872200252,1454.9013141566284,1291.9791546258523,69.09173475869788,1260.8609514898385,1259.346096348592,1310.5352104667197
10,FDAC,Lunacek_bi_rastrigin,293.1826872200252,1427.3776272319,850.4024354154485,148.06241344711052,868.3184035105619,788.1639928327754,872.4304004096216
10,FDAD,Lunacek_bi_rastrigin,293.1826872200252,1024.2844683354913,850.3339165134948,68.98926382338637,807.9871126176693,804.7937969002926,884.3266495488338
10,SOOBs,Lunacek_bi_rastrigin,45.077167854771346,808.231772655258,45.43377247290438,11.227362866354,45.077167854771346,45.077167854771346,45.077167854771346
15,FDA,Lunacek_bi_rastrigin,557.4734919818898,1735.0959757358478,834.0124700974859,172.42066238873954,779.8078476567421,778.8090259214437,793.8024935744229
15,DIRECT,Lunacek_bi_rastrigin,66.48267576157468,3921.611785190378,1143.433456760294,436.2380133984039,1072.2325002209304,839.9431823338608,1393.0261966574985
15,DIRECTL,Lunacek_bi_rastrigin,62.49413960425841,1956.6510511289403,896.4670126403877,361.59833493580135,922.6293642760779,713.7397404144313,1125.5688518559973
15,DIRECTR,Lunacek_bi_rastrigin,73.66286211673173,2928.211327538866,211.16513370283064,311.25326190527204,73.70458478074687,73.66289257683817,114.69465956112
15,SOO,Lunacek_bi_rastrigin,53.04277575509025,2396.138103591619,168.17756505407792,256.308889143118,60.53844662468771,56.15570473196826,152.36761063014137
15,DIRECTBs,Lunacek_bi_rastrigin,66.26323681907911,1305.407774709393,67.85178895861391,28.816082282806494,66.26323681907922,66.26323681907911,66.26323681907922
15,FDABs,Lunacek_bi_rastrigin,557.4734919818898,1735.0959757358478,834.0124700974859,172.42066238873954,779.8078476567421,778.8090259214437,793.8024935744229
